=== Thứ tư, 26 Tháng 3 năm 2025 21:49:52 +07 ===
+---------------------------+-------------+-----------------+
| timestamp                 | granularity |           value |
+---------------------------+-------------+-----------------+
| 2025-03-16T14:55:00+07:00 |       300.0 |   17130000000.0 |
| 2025-03-16T15:00:00+07:00 |       300.0 |  302700000000.0 |
| 2025-03-16T15:05:00+07:00 |       300.0 |  586920000000.0 |
| 2025-03-16T15:10:00+07:00 |       300.0 |  873570000000.0 |
| 2025-03-16T15:15:00+07:00 |       300.0 | 1160010000000.0 |
| 2025-03-16T15:20:00+07:00 |       300.0 | 1446870000000.0 |
| 2025-03-16T15:25:00+07:00 |       300.0 | 1732710000000.0 |
| 2025-03-16T15:30:00+07:00 |       300.0 | 1917320000000.0 |
| 2025-03-16T15:35:00+07:00 |       300.0 | 1924100000000.0 |
| 2025-03-16T15:40:00+07:00 |       300.0 | 1929310000000.0 |
| 2025-03-16T15:45:00+07:00 |       300.0 | 1936100000000.0 |
| 2025-03-16T15:50:00+07:00 |       300.0 | 1942610000000.0 |
| 2025-03-16T15:55:00+07:00 |       300.0 | 1949080000000.0 |
| 2025-03-16T16:00:00+07:00 |       300.0 | 1953690000000.0 |
| 2025-03-16T16:05:00+07:00 |       300.0 | 1960560000000.0 |
| 2025-03-16T16:10:00+07:00 |       300.0 | 1967320000000.0 |
| 2025-03-16T16:15:00+07:00 |       300.0 | 1974370000000.0 |
| 2025-03-16T16:20:00+07:00 |       300.0 | 1979060000000.0 |
| 2025-03-16T16:25:00+07:00 |       300.0 | 2044570000000.0 |
| 2025-03-16T16:30:00+07:00 |       300.0 | 2275200000000.0 |
| 2025-03-16T16:35:00+07:00 |       300.0 | 2292780000000.0 |
| 2025-03-16T16:40:00+07:00 |       300.0 | 2530000000000.0 |
| 2025-03-16T16:45:00+07:00 |       300.0 | 2647670000000.0 |
| 2025-03-16T16:50:00+07:00 |       300.0 | 2652430000000.0 |
| 2025-03-16T16:55:00+07:00 |       300.0 | 2657080000000.0 |
| 2025-03-16T17:00:00+07:00 |       300.0 | 2661770000000.0 |
| 2025-03-16T17:05:00+07:00 |       300.0 | 2666480000000.0 |
| 2025-03-16T17:10:00+07:00 |       300.0 | 2671160000000.0 |
| 2025-03-16T17:15:00+07:00 |       300.0 | 2676130000000.0 |
| 2025-03-16T17:20:00+07:00 |       300.0 | 2680780000000.0 |
| 2025-03-16T17:25:00+07:00 |       300.0 | 2685390000000.0 |
| 2025-03-16T17:30:00+07:00 |       300.0 | 2690010000000.0 |
| 2025-03-16T17:35:00+07:00 |       300.0 | 2694590000000.0 |
| 2025-03-16T17:40:00+07:00 |       300.0 | 2699170000000.0 |
| 2025-03-16T17:45:00+07:00 |       300.0 | 2703760000000.0 |
| 2025-03-16T17:50:00+07:00 |       300.0 | 2708410000000.0 |
| 2025-03-16T17:55:00+07:00 |       300.0 | 2717710000000.0 |
| 2025-03-25T17:45:00+07:00 |       300.0 |  179580000000.0 |
| 2025-03-25T17:50:00+07:00 |       300.0 |  323280000000.0 |
| 2025-03-25T17:55:00+07:00 |       300.0 |  355000000000.0 |
| 2025-03-25T18:00:00+07:00 |       300.0 |  495040000000.0 |
| 2025-03-25T18:05:00+07:00 |       300.0 |  759230000000.0 |
| 2025-03-25T18:10:00+07:00 |       300.0 | 1042620000000.0 |
