=== Thứ tư, 26 Tháng 3 năm 2025 21:49:49 +07 ===
+---------------------------+-------------+---------------+
| timestamp                 | granularity |         value |
+---------------------------+-------------+---------------+
| 2025-03-16T14:55:00+07:00 |       300.0 |   184.3828125 |
| 2025-03-16T15:00:00+07:00 |       300.0 |     266.78125 |
| 2025-03-16T15:05:00+07:00 |       300.0 |  274.00390625 |
| 2025-03-16T15:10:00+07:00 |       300.0 |    271.859375 |
| 2025-03-16T15:15:00+07:00 |       300.0 |   271.2109375 |
| 2025-03-16T15:20:00+07:00 |       300.0 |  271.79296875 |
| 2025-03-16T15:25:00+07:00 |       300.0 |     271.96875 |
| 2025-03-16T15:30:00+07:00 |       300.0 |  305.66796875 |
| 2025-03-16T15:35:00+07:00 |       300.0 |   305.2421875 |
| 2025-03-16T15:40:00+07:00 |       300.0 |  305.10546875 |
| 2025-03-16T15:45:00+07:00 |       300.0 |  304.70703125 |
| 2025-03-16T15:50:00+07:00 |       300.0 |      304.3125 |
| 2025-03-16T15:55:00+07:00 |       300.0 |     303.96875 |
| 2025-03-16T16:00:00+07:00 |       300.0 |   303.9453125 |
| 2025-03-16T16:05:00+07:00 |       300.0 |  303.49609375 |
| 2025-03-16T16:10:00+07:00 |       300.0 |     303.09375 |
| 2025-03-16T16:15:00+07:00 |       300.0 |   301.9453125 |
| 2025-03-16T16:20:00+07:00 |       300.0 |   301.9140625 |
| 2025-03-16T16:25:00+07:00 |       300.0 |  328.87890625 |
| 2025-03-16T16:30:00+07:00 |       300.0 |  338.71484375 |
| 2025-03-16T16:35:00+07:00 |       300.0 |   339.0703125 |
| 2025-03-16T16:40:00+07:00 |       300.0 |         341.5 |
| 2025-03-16T16:45:00+07:00 |       300.0 |  423.79296875 |
| 2025-03-16T16:50:00+07:00 |       300.0 |   422.8046875 |
| 2025-03-16T16:55:00+07:00 |       300.0 |   422.8203125 |
| 2025-03-16T17:00:00+07:00 |       300.0 |   422.8203125 |
| 2025-03-16T17:05:00+07:00 |       300.0 |  422.84765625 |
| 2025-03-16T17:10:00+07:00 |       300.0 |  422.83203125 |
| 2025-03-16T17:15:00+07:00 |       300.0 |  422.81640625 |
| 2025-03-16T17:20:00+07:00 |       300.0 |  422.80078125 |
| 2025-03-16T17:25:00+07:00 |       300.0 |  422.80078125 |
| 2025-03-16T17:30:00+07:00 |       300.0 |  422.80078125 |
| 2025-03-16T17:35:00+07:00 |       300.0 |  422.79296875 |
| 2025-03-16T17:40:00+07:00 |       300.0 |  422.79296875 |
| 2025-03-16T17:45:00+07:00 |       300.0 |  422.79296875 |
| 2025-03-16T17:50:00+07:00 |       300.0 |  422.79296875 |
| 2025-03-16T17:55:00+07:00 |       300.0 |    408.703125 |
| 2025-03-25T17:45:00+07:00 |       300.0 |  364.01953125 |
| 2025-03-25T17:50:00+07:00 |       300.0 |     345.53125 |
| 2025-03-25T17:55:00+07:00 |       300.0 |   332.9765625 |
| 2025-03-25T18:00:00+07:00 |       300.0 |   351.6328125 |
| 2025-03-25T18:05:00+07:00 |       300.0 |      382.4375 |
| 2025-03-25T18:10:00+07:00 |       300.0 |  362.31640625 |
| 2025-03-25T18:15:00+07:00 |       300.0 |  322.98046875 |
| 2025-03-25T18:20:00+07:00 |       300.0 |  301.19140625 |
| 2025-03-25T18:25:00+07:00 |       300.0 |  309.73046875 |
| 2025-03-25T18:30:00+07:00 |       300.0 |  309.69921875 |
| 2025-03-25T18:35:00+07:00 |       300.0 |  308.14453125 |
| 2025-03-25T18:40:00+07:00 |       300.0 |   343.2421875 |
| 2025-03-25T18:45:00+07:00 |       300.0 |  348.29296875 |
| 2025-03-25T18:50:00+07:00 |       300.0 |    348.265625 |
| 2025-03-25T18:55:00+07:00 |       300.0 |  348.26171875 |
| 2025-03-25T19:00:00+07:00 |       300.0 |  348.24609375 |
| 2025-03-25T19:05:00+07:00 |       300.0 |  348.23828125 |
| 2025-03-25T19:10:00+07:00 |       300.0 |  348.23046875 |
| 2025-03-25T19:15:00+07:00 |       300.0 |  348.18359375 |
| 2025-03-25T19:20:00+07:00 |       300.0 |  348.17578125 |
| 2025-03-25T19:25:00+07:00 |       300.0 |  348.17578125 |
| 2025-03-25T19:30:00+07:00 |       300.0 |  348.17578125 |
| 2025-03-25T19:35:00+07:00 |       300.0 |  348.17578125 |
| 2025-03-25T19:40:00+07:00 |       300.0 |  348.17578125 |
