=== Thứ tư, 26 Tháng 3 năm 2025 21:49:54 +07 ===
+------------+---------------------------+-------------+--------------------+
| name       | timestamp                 | granularity |              value |
+------------+---------------------------+-------------+--------------------+
| aggregated | 2025-03-16T08:00:00+00:00 |       300.0 |              95.19 |
| aggregated | 2025-03-16T08:05:00+00:00 |       300.0 |  94.74000000000001 |
| aggregated | 2025-03-16T08:10:00+00:00 |       300.0 |              95.55 |
| aggregated | 2025-03-16T08:15:00+00:00 |       300.0 |              95.48 |
| aggregated | 2025-03-16T08:20:00+00:00 |       300.0 |              95.62 |
| aggregated | 2025-03-16T08:25:00+00:00 |       300.0 |              95.28 |
| aggregated | 2025-03-16T08:30:00+00:00 |       300.0 |  61.53666666666666 |
| aggregated | 2025-03-16T08:35:00+00:00 |       300.0 |               2.26 |
| aggregated | 2025-03-16T08:40:00+00:00 |       300.0 | 1.7366666666666666 |
| aggregated | 2025-03-16T08:45:00+00:00 |       300.0 |  2.263333333333333 |
| aggregated | 2025-03-16T08:50:00+00:00 |       300.0 |               2.17 |
| aggregated | 2025-03-16T08:55:00+00:00 |       300.0 | 2.1566666666666667 |
| aggregated | 2025-03-16T09:00:00+00:00 |       300.0 | 1.5366666666666666 |
| aggregated | 2025-03-16T09:05:00+00:00 |       300.0 |               2.29 |
| aggregated | 2025-03-16T09:10:00+00:00 |       300.0 | 2.2533333333333334 |
| aggregated | 2025-03-16T09:15:00+00:00 |       300.0 |               2.35 |
| aggregated | 2025-03-16T09:20:00+00:00 |       300.0 | 1.5633333333333332 |
| aggregated | 2025-03-16T09:25:00+00:00 |       300.0 | 21.836666666666666 |
| aggregated | 2025-03-16T09:30:00+00:00 |       300.0 |  76.87666666666667 |
| aggregated | 2025-03-16T09:35:00+00:00 |       300.0 |               5.86 |
| aggregated | 2025-03-16T09:40:00+00:00 |       300.0 |  79.07333333333332 |
| aggregated | 2025-03-16T09:45:00+00:00 |       300.0 |  39.22333333333333 |
| aggregated | 2025-03-16T09:50:00+00:00 |       300.0 |  1.586666666666667 |
| aggregated | 2025-03-16T09:55:00+00:00 |       300.0 |               1.55 |
| aggregated | 2025-03-16T10:00:00+00:00 |       300.0 | 1.5633333333333332 |
| aggregated | 2025-03-16T10:05:00+00:00 |       300.0 | 1.5699999999999998 |
| aggregated | 2025-03-16T10:10:00+00:00 |       300.0 | 1.5599999999999998 |
| aggregated | 2025-03-16T10:15:00+00:00 |       300.0 | 1.6566666666666667 |
| aggregated | 2025-03-16T10:20:00+00:00 |       300.0 |               1.55 |
| aggregated | 2025-03-16T10:25:00+00:00 |       300.0 | 1.5366666666666666 |
| aggregated | 2025-03-16T10:30:00+00:00 |       300.0 |               1.54 |
| aggregated | 2025-03-16T10:35:00+00:00 |       300.0 | 1.5266666666666666 |
| aggregated | 2025-03-16T10:40:00+00:00 |       300.0 | 1.5266666666666666 |
| aggregated | 2025-03-16T10:45:00+00:00 |       300.0 |               1.53 |
| aggregated | 2025-03-16T10:50:00+00:00 |       300.0 |               1.55 |
| aggregated | 2025-03-16T10:55:00+00:00 |       300.0 |                3.1 |
| aggregated | 2025-03-25T10:45:00+00:00 |       300.0 | -846.0433333333333 |
| aggregated | 2025-03-25T10:50:00+00:00 |       300.0 |               47.9 |
| aggregated | 2025-03-25T10:55:00+00:00 |       300.0 | 10.573333333333332 |
| aggregated | 2025-03-25T11:00:00+00:00 |       300.0 |              46.68 |
| aggregated | 2025-03-25T11:05:00+00:00 |       300.0 |  88.06333333333333 |
| aggregated | 2025-03-25T11:10:00+00:00 |       300.0 |  94.46333333333334 |
| aggregated | 2025-03-25T11:15:00+00:00 |       300.0 |  80.46666666666667 |
| aggregated | 2025-03-25T11:20:00+00:00 |       300.0 |            -364.71 |
| aggregated | 2025-03-25T11:25:00+00:00 |       300.0 | 11.700000000000001 |
| aggregated | 2025-03-25T11:30:00+00:00 |       300.0 |  2.966666666666667 |
| aggregated | 2025-03-25T11:35:00+00:00 |       300.0 |  4.186666666666667 |
| aggregated | 2025-03-25T11:40:00+00:00 |       300.0 |  23.60666666666667 |
| aggregated | 2025-03-25T11:45:00+00:00 |       300.0 |  49.01333333333333 |
| aggregated | 2025-03-25T11:50:00+00:00 |       300.0 | 1.4066666666666667 |
| aggregated | 2025-03-25T11:55:00+00:00 |       300.0 |               1.43 |
| aggregated | 2025-03-25T12:00:00+00:00 |       300.0 | 1.3833333333333333 |
| aggregated | 2025-03-25T12:05:00+00:00 |       300.0 | 1.3466666666666667 |
| aggregated | 2025-03-25T12:10:00+00:00 |       300.0 | 1.3866666666666667 |
| aggregated | 2025-03-25T12:15:00+00:00 |       300.0 | 1.5599999999999998 |
| aggregated | 2025-03-25T12:20:00+00:00 |       300.0 | 1.4766666666666668 |
| aggregated | 2025-03-25T12:25:00+00:00 |       300.0 |               1.51 |
| aggregated | 2025-03-25T12:30:00+00:00 |       300.0 | 1.5466666666666666 |
| aggregated | 2025-03-25T12:35:00+00:00 |       300.0 |               1.52 |
| aggregated | 2025-03-25T12:40:00+00:00 |       300.0 |               1.59 |
| aggregated | 2025-03-25T12:45:00+00:00 |       300.0 | 1.5433333333333334 |
| aggregated | 2025-03-25T12:50:00+00:00 |       300.0 | 1.5933333333333335 |
| aggregated | 2025-03-25T12:55:00+00:00 |       300.0 | 1.5433333333333334 |
| aggregated | 2025-03-25T13:00:00+00:00 |       300.0 |               1.55 |
| aggregated | 2025-03-25T13:05:00+00:00 |       300.0 |               1.47 |
| aggregated | 2025-03-25T13:10:00+00:00 |       300.0 | 1.4633333333333334 |
| aggregated | 2025-03-25T13:15:00+00:00 |       300.0 | 1.5466666666666666 |
